index,rssi
0,-59
1,-60
2,-58
3,-52
4,-53
5,-51
6,-55
7,-55
8,-56
9,-55
10,-56
11,-54
12,-53
13,-52
14,-53
15,-55
16,-64
17,-56
18,-58
19,-56
20,-57
21,-56
22,-56
23,-55
24,-63
25,-62
26,-62
27,-61
28,-59
29,-56
30,-60
31,-55
32,-56
33,-55
34,-66
35,-67
36,-61
37,-56
38,-56
39,-57
40,-56
41,-54
42,-64
43,-56
44,-67
45,-62
46,-60
47,-53
48,-55
49,-57
50,-58
51,-56
52,-56
53,-56
54,-58
55,-58
56,-60
57,-58
58,-53
59,-55
60,-54
61,-53
62,-52
63,-54
64,-56
65,-54
66,-65
67,-61
68,-61
69,-60
70,-53
71,-53
72,-52
73,-52
74,-56
75,-55
76,-55
77,-55
78,-60
79,-60
80,-59
81,-53
82,-52
83,-53
84,-54
85,-53
86,-54
87,-61
88,-60
89,-61
90,-60
91,-54
92,-54
93,-54
94,-54
95,-54
96,-54
97,-54
98,-54
99,-54
100,-60
101,-60
102,-61
103,-61
104,-54
105,-54
106,-54
107,-54
108,-55
109,-54
110,-55
111,-54
112,-61
113,-61
114,-54
115,-54
116,-54
117,-54
118,-54
119,-54
120,-54
121,-60
122,-61
123,-62
124,-53
125,-53
126,-54
127,-54
128,-55
129,-55
130,-54
131,-54
132,-63
133,-64
134,-63
135,-63
136,-53
137,-53
138,-54
139,-56
140,-55
141,-54
142,-61
143,-61
144,-60
145,-60
146,-54
147,-54
148,-54
149,-57
150,-54
151,-56
152,-60
153,-64
154,-62
155,-55
156,-53
157,-53
158,-52
159,-54
160,-53
161,-56
162,-54
163,-65
164,-68
165,-67
166,-53
167,-53
168,-54
169,-57
170,-54
171,-63
172,-61
173,-61
174,-54
175,-55
176,-55
177,-61
178,-62
179,-61
180,-63
181,-63
182,-54
183,-54
184,-53
185,-53
186,-56
187,-54
188,-55
189,-55
190,-62
191,-60
192,-60
193,-61
194,-53
195,-53
196,-53
197,-58
198,-55
199,-56
200,-55
201,-54
202,-64
203,-63
204,-64
205,-51
206,-62
207,-54
208,-56
209,-56
210,-56
211,-56
212,-62
213,-62
214,-62
215,-61
216,-53
217,-53
218,-53
219,-56
220,-56
221,-56
222,-56
223,-60
224,-62
225,-54
226,-53
227,-56
228,-56
229,-55
230,-56
231,-61
232,-60
233,-60
234,-60
235,-53
236,-53
237,-53
238,-53
239,-54
240,-54
241,-55
242,-59
243,-59
244,-59
245,-59
246,-53
247,-53
248,-55
249,-54
250,-55
251,-55
252,-58
253,-59
254,-60
255,-60
256,-53
257,-53
258,-53
259,-53
260,-55
261,-55
262,-54
263,-55
264,-60
265,-58
266,-60
267,-60
268,-53
269,-54
270,-54
271,-54
272,-55
273,-55
274,-55
275,-60
276,-60
277,-60
278,-60
279,-53
280,-54
281,-54
282,-54
283,-55
284,-55
285,-56
286,-60
287,-60
288,-60
289,-60
290,-54
291,-54
292,-54
293,-55
294,-56
295,-56
296,-55
297,-60
298,-60
299,-60
300,-60
301,-53
302,-53
303,-53
304,-55
305,-55
306,-55
307,-55
308,-60
309,-60
310,-60
311,-60
312,-53
313,-53
314,-53
315,-53
316,-55
317,-55
318,-55
319,-60
320,-60
321,-60
322,-59
323,-54
324,-53
325,-53
326,-54
327,-53
328,-55
329,-56
330,-55
331,-58
332,-58
333,-59
334,-59
335,-52
336,-53
337,-53
338,-53
339,-55
340,-55
341,-60
342,-53
343,-53
344,-53
345,-56
346,-55
347,-56
348,-59
349,-60
350,-60
351,-60
352,-53
353,-53
354,-53
355,-53
356,-56
357,-56
358,-56
359,-55
360,-59
361,-60
362,-60
363,-60
364,-53
365,-53
366,-53
367,-54
368,-56
369,-55
370,-54
371,-55
372,-60
373,-61
374,-60
375,-60
376,-53
377,-53
378,-54
379,-53
380,-56
381,-55
382,-60
383,-59
384,-59
385,-61
386,-54
387,-53
388,-53
389,-56
390,-56
391,-55
392,-55
393,-60
394,-58
395,-59
396,-54
397,-53
398,-54
399,-56
400,-55
401,-59
402,-60
403,-54
404,-54
405,-54
406,-54
407,-55
408,-56
409,-56
410,-61
411,-59
412,-60
413,-60
414,-61
415,-54
416,-54
417,-54
418,-54
419,-54
420,-53
421,-61
422,-62
423,-60
424,-53
425,-53
426,-53
427,-52
428,-61
429,-61
430,-62
431,-62
432,-53
433,-53
434,-53
435,-55
436,-56
437,-56
438,-60
439,-60
440,-60
441,-60
442,-53
443,-53
444,-53
445,-56
446,-56
447,-56
448,-56
449,-60
450,-61
451,-61
452,-62
453,-54
454,-55
455,-55
456,-55
457,-54
458,-60
459,-60
460,-60
461,-60
462,-53
463,-53
464,-54
465,-53
466,-55
467,-55
468,-54
469,-54
470,-60
471,-60
472,-60
473,-60
474,-53
475,-54
476,-53
477,-54
478,-55
479,-54
480,-60
481,-58
482,-60
483,-54
484,-53
485,-53
486,-52
487,-54
488,-53
489,-60
490,-60
491,-59
492,-60
493,-53
494,-53
495,-54
496,-54
497,-54
498,-59
499,-60
500,-60
501,-54
502,-54
503,-53
504,-54
505,-54
506,-53
507,-54
508,-54
509,-60
510,-60
511,-60
512,-61
513,-53
514,-53
515,-53
516,-54
517,-54
518,-54
519,-58
520,-59
521,-58
522,-59
523,-52
524,-52
525,-52
526,-55
527,-54
528,-54
529,-55
530,-60
531,-59
532,-58
533,-55
534,-55
535,-59
536,-58
537,-59
538,-54
539,-54
540,-53
541,-54
542,-55
543,-56
544,-54
545,-54
546,-60
547,-60
548,-60
549,-59
550,-53
551,-53
552,-53
553,-54
554,-55
555,-55
556,-59
557,-59
558,-58
559,-58
560,-53
561,-53
562,-53
563,-54
564,-54
565,-59
566,-60
567,-60
568,-60
569,-54
570,-53
571,-55
572,-54
573,-58
574,-58
575,-57
576,-58
577,-53
578,-53
579,-52
580,-55
581,-55
582,-60
583,-60
584,-60
585,-60
586,-53
587,-53
588,-53
589,-52
590,-55
591,-55
592,-55
593,-56
594,-56
595,-58
596,-60
597,-60
598,-60
599,-53
600,-53
601,-55
602,-55
603,-55
604,-55
605,-60
606,-59
607,-60
608,-60
609,-53
610,-54
611,-53
612,-54
613,-54
614,-54
615,-55
616,-60
617,-58
618,-59
619,-54
620,-53
621,-53
622,-54
623,-54
624,-58
625,-58
626,-58
627,-58
628,-53
629,-53
630,-53
631,-55
632,-55
633,-55
634,-58
635,-58
636,-59
637,-53
638,-54
639,-53
640,-54
641,-55
642,-55
643,-55
644,-55
645,-58
646,-58
647,-58
648,-53
649,-53
650,-53
651,-53
652,-55
653,-55
654,-55
655,-55
656,-59
657,-60
658,-59
659,-53
660,-53
661,-53
662,-53
663,-56
664,-55
665,-55
666,-55
667,-59
668,-59
669,-59
670,-59
671,-54
672,-54
673,-54
674,-54
675,-55
676,-58
677,-58
678,-58
679,-54
680,-54
681,-53
682,-53
683,-54
684,-55
685,-55
686,-55
687,-58
688,-58
689,-58
690,-58
691,-54
692,-54
693,-54
694,-54
695,-54
696,-54
697,-60
698,-60
699,-60
700,-59
701,-54
702,-53
703,-53
704,-55
705,-55
706,-56
707,-55
708,-60
709,-60
710,-59
711,-60
712,-54
713,-54
714,-53
715,-53
716,-54
717,-54
718,-54
719,-55
720,-59
721,-59
722,-53
723,-53
724,-53
725,-53
726,-55
727,-55
728,-55
729,-55
730,-54
731,-59
732,-60
733,-60
734,-60
735,-53
736,-53
737,-53
738,-53
739,-55
740,-56
741,-55
742,-58
743,-58
744,-59
745,-58
746,-54
,-56.27041499
