index,rssi
0,-58.0
1,-58.0
2,-58.0
3,-57.0
4,-57.0
5,-57.0
6,-57.0
7,-64.0
8,-62.0
9,-62.0
10,-62.0
11,-58.0
12,-58.0
13,-58.0
14,-58.0
15,-57.0
16,-57.0
17,-57.0
18,-63.0
19,-63.0
20,-63.0
21,-57.0
22,-57.0
23,-57.0
24,-57.0
25,-57.0
26,-57.0
27,-57.0
28,-57.0
29,-63.0
30,-63.0
31,-57.0
32,-57.0
33,-58.0
34,-56.0
35,-62.0
36,-62.0
37,-62.0
38,-57.0
39,-57.0
40,-58.0
41,-58.0
42,-58.0
43,-58.0
44,-64.0
45,-62.0
46,-61.0
47,-62.0
48,-57.0
49,-55.0
50,-56.0
51,-56.0
52,-58.0
53,-59.0
54,-58.0
55,-59.0
56,-62.0
57,-62.0
58,-64.0
59,-62.0
60,-56.0
61,-56.0
62,-56.0
63,-56.0
64,-60.0
65,-57.0
66,-64.0
67,-64.0
68,-64.0
69,-64.0
70,-56.0
71,-56.0
72,-56.0
73,-58.0
74,-64.0
75,-63.0
76,-65.0
77,-56.0
78,-56.0
79,-56.0
80,-58.0
81,-58.0
82,-57.0
83,-63.0
84,-66.0
85,-65.0
86,-56.0
87,-56.0
88,-56.0
89,-55.0
90,-57.0
91,-56.0
92,-56.0
93,-57.0
94,-63.0
95,-64.0
96,-64.0
97,-64.0
98,-56.0
99,-57.0
100,-56.0
101,-62.0
102,-59.0
103,-57.0
104,-61.0
105,-59.0
106,-58.0
107,-61.0
108,-60.0
109,-60.0
110,-57.0
111,-62.0
112,-56.0
113,-56.0
114,-56.0
115,-59.0
116,-57.0
117,-60.0
118,-56.0
119,-58.0
120,-57.0
121,-57.0
122,-57.0
123,-58.0
124,-59.0
125,-59.0
126,-60.0
127,-60.0
128,-60.0
129,-58.0
130,-59.0
131,-58.0
132,-54.0
133,-60.0
134,-60.0
135,-61.0
136,-60.0
137,-60.0
138,-60.0
139,-60.0
140,-61.0
141,-60.0
142,-59.0
143,-59.0
144,-59.0
145,-60.0
146,-60.0
147,-59.0
148,-62.0
149,-61.0
150,-62.0
151,-62.0
152,-56.0
153,-60.0
154,-66.0
155,-60.0
156,-59.0
157,-58.0
158,-58.0
159,-59.0
160,-55.0
161,-58.0
162,-60.0
163,-58.0
164,-58.0
165,-57.0
166,-60.0
167,-59.0
168,-54.0
169,-53.0
170,-54.0
171,-56.0
172,-57.0
173,-60.0
174,-61.0
175,-57.0
176,-58.0
177,-57.0
178,-54.0
179,-54.0
180,-55.0
181,-56.0
182,-64.0
183,-61.0
184,-61.0
185,-57.0
186,-54.0
187,-56.0
188,-56.0
189,-56.0
190,-57.0
191,-59.0
192,-61.0
193,-60.0
194,-64.0
195,-62.0
196,-63.0
197,-58.0
198,-58.0
199,-58.0
200,-59.0
201,-59.0
202,-58.0
203,-58.0
204,-63.0
205,-64.0
206,-64.0
207,-58.0
208,-57.0
209,-57.0
210,-57.0
211,-61.0
212,-61.0
213,-58.0
214,-60.0
215,-59.0
216,-60.0
217,-62.0
218,-57.0
219,-55.0
220,-57.0
221,-57.0
222,-58.0
223,-63.0
224,-60.0
225,-63.0
226,-57.0
227,-58.0
228,-59.0
229,-58.0
230,-60.0
231,-62.0
232,-60.0
233,-58.0
234,-56.0
235,-58.0
236,-57.0
237,-57.0
238,-60.0
239,-59.0
240,-62.0
241,-59.0
242,-61.0
243,-57.0
244,-56.0
245,-56.0
246,-56.0
247,-58.0
248,-58.0
249,-57.0
250,-56.0
251,-61.0
252,-60.0
253,-56.0
254,-57.0
255,-56.0
256,-57.0
257,-57.0
258,-57.0
259,-57.0
260,-60.0
261,-59.0
262,-60.0
263,-57.0
264,-56.0
265,-57.0
266,-56.0
267,-57.0
268,-62.0
269,-62.0
270,-62.0
271,-61.0
272,-56.0
273,-56.0
274,-56.0
275,-56.0
276,-57.0
277,-57.0
278,-57.0
279,-60.0
280,-62.0
281,-61.0
282,-61.0
283,-57.0
284,-56.0
285,-56.0
286,-55.0
287,-60.0
288,-59.0
289,-59.0
290,-60.0
291,-56.0
292,-59.0
293,-60.0
294,-60.0
295,-59.0
296,-59.0
297,-60.0
298,-60.0
299,-59.0
300,-57.0
301,-56.0
302,-58.0
303,-60.0
304,-59.0
305,-60.0
306,-58.0
307,-57.0
308,-58.0
309,-58.0
310,-55.0
311,-58.0
312,-59.0
313,-60.0
314,-60.0
315,-60.0
316,-59.0
317,-58.0
318,-57.0
319,-57.0
320,-57.0
321,-56.0
322,-60.0
323,-60.0
324,-60.0
325,-60.0
326,-60.0
327,-59.0
328,-59.0
329,-60.0
330,-57.0
331,-57.0
332,-57.0
333,-60.0
334,-60.0
335,-60.0
336,-60.0
337,-60.0
338,-60.0
339,-57.0
340,-56.0
341,-57.0
342,-60.0
343,-60.0
344,-60.0
345,-60.0
346,-60.0
347,-57.0
348,-56.0
349,-56.0
350,-60.0
351,-60.0
352,-60.0
353,-60.0
354,-60.0
355,-58.0
356,-59.0
357,-58.0
358,-56.0
359,-54.0
360,-58.0
361,-60.0
362,-60.0
363,-61.0
364,-59.0
365,-58.0
366,-58.0
367,-59.0
368,-57.0
369,-57.0
370,-57.0
371,-57.0
372,-60.0
373,-60.0
374,-60.0
375,-58.0
376,-58.0
377,-58.0
378,-59.0
379,-56.0
380,-56.0
381,-56.0
382,-56.0
383,-60.0
384,-60.0
385,-60.0
386,-57.0
387,-56.0
388,-55.0
389,-56.0
390,-58.0
391,-58.0
392,-62.0
393,-56.0
394,-56.0
395,-56.0
396,-56.0
397,-56.0
398,-56.0
399,-57.0
400,-57.0
401,-62.0
402,-62.0
403,-63.0
404,-62.0
405,-62.0
406,-60.0
407,-57.0
408,-55.0
409,-55.0
410,-56.0
411,-58.0
412,-57.0
413,-57.0
414,-58.0
415,-58.0
416,-58.0
417,-58.0
418,-59.0
419,-58.0
420,-56.0
421,-55.0
422,-56.0
423,-58.0
424,-58.0
425,-58.0
426,-58.0
427,-59.0
428,-58.0
429,-60.0
430,-56.0
431,-56.0
432,-56.0
433,-60.0
434,-60.0
435,-60.0
436,-60.0
437,-60.0
438,-56.0
439,-56.0
440,-56.0
441,-56.0
442,-59.0
443,-60.0
444,-58.0
445,-59.0
446,-58.0
447,-57.0
448,-56.0
449,-56.0
450,-56.0
451,-55.0
452,-58.0
453,-59.0
454,-59.0
455,-60.0
456,-58.0
457,-57.0
458,-57.0
459,-56.0
460,-55.0
461,-55.0
462,-55.0
463,-59.0
464,-59.0
465,-60.0
466,-60.0
467,-60.0
468,-57.0
469,-57.0
470,-57.0
471,-59.0
472,-60.0
473,-60.0
474,-58.0
475,-58.0
476,-58.0
477,-58.0
478,-56.0
479,-56.0
480,-60.0
481,-60.0
482,-60.0
483,-60.0
484,-59.0
485,-60.0
486,-58.0
487,-57.0
488,-56.0
489,-55.0
490,-57.0
491,-61.0
492,-62.0
493,-59.0
494,-55.0
495,-57.0
496,-60.0
497,-57.0
498,-58.0
499,-57.0
500,-56.0
501,-59.0
502,-60.0
503,-59.0
504,-60.0
505,-60.0
506,-60.0
507,-59.0
508,-58.0
509,-56.0
510,-56.0
511,-60.0
512,-60.0
513,-59.0
514,-60.0
515,-58.0
516,-59.0
517,-59.0
518,-57.0
519,-57.0
520,-58.0
521,-58.0
522,-61.0
523,-60.0
524,-58.0
525,-58.0
526,-59.0
527,-56.0
528,-57.0
529,-56.0
530,-55.0
531,-62.0
532,-61.0
533,-60.0
534,-60.0
535,-58.0
536,-60.0
537,-58.0
538,-56.0
539,-54.0
540,-56.0
541,-56.0
542,-60.0
543,-61.0
544,-60.0
545,-58.0
546,-58.0
547,-62.0
548,-59.0
549,-56.0
550,-59.0
551,-60.0
552,-60.0
553,-60.0
554,-60.0
555,-58.0
556,-58.0
557,-56.0
558,-55.0
559,-60.0
560,-59.0
561,-59.0
562,-59.0
563,-58.0
564,-57.0
565,-59.0
566,-58.0
567,-57.0
568,-57.0
569,-56.0
570,-60.0
571,-60.0
572,-60.0
573,-57.0
574,-60.0
575,-57.0
576,-58.0
577,-56.0
578,-54.0
579,-55.0
580,-56.0
581,-58.0
582,-60.0
583,-59.0
584,-57.0
585,-58.0
586,-58.0
587,-59.0
588,-56.0
589,-56.0
590,-56.0
591,-59.0
592,-59.0
593,-60.0
594,-60.0
595,-57.0
596,-58.0
597,-57.0
598,-54.0
599,-55.0
600,-55.0
601,-55.0
602,-61.0
603,-56.0
604,-56.0
605,-55.0
606,-56.0
607,-54.0
608,-56.0
609,-54.0
610,-56.0
611,-60.0
612,-60.0
613,-57.0
614,-57.0
615,-57.0
616,-58.0
617,-56.0
618,-57.0
619,-57.0
620,-60.0
621,-60.0
622,-60.0
623,-60.0
624,-60.0
625,-60.0
626,-58.0
627,-58.0
628,-57.0
629,-57.0
630,-59.0
631,-58.0
632,-58.0
633,-60.0
634,-60.0
635,-60.0
636,-57.0
637,-58.0
638,-58.0
639,-57.0
640,-60.0
641,-59.0
642,-59.0
643,-60.0
644,-60.0
645,-58.0
646,-58.0
647,-57.0
648,-60.0
649,-60.0
650,-59.0
651,-58.0
652,-61.0
653,-56.0
654,-56.0
655,-56.0
656,-56.0
